typeID,typeName,groupID,groupName,marketGroupID,marketGroupName,mass,volume,capacity,portionSize,raceID,basePrice,published
0,#System,0,#System,,NA,1,0,0,1,,,0
2,Corporation,2,Corporation,,NA,0,0,0,1,,,0
3,Region,3,Region,,NA,0,1,0,1,,,0
4,Constellation,4,Constellation,,NA,0,1,0,1,,,0
5,Solar System,5,Solar System,,NA,0,1,0,1,,,0
6,Sun G5 (Yellow),6,Sun,,NA,1E+18,1,0,1,,,0
7,Sun K7 (Orange),6,Sun,,NA,1E+18,1,0,1,,,0
8,Sun K5 (Red Giant),6,Sun,,NA,1E+18,1,0,1,,,0
9,Sun B0 (Blue),6,Sun,,NA,1E+18,1,0,1,,,0
10,Sun F0 (White),6,Sun,,NA,1E+18,1,0,1,,,0
11,Planet (Temperate),7,Planet,,NA,1E+35,1,0,1,,,0
12,Planet (Ice),7,Planet,,NA,1E+35,1,0,1,,,0
13,Planet (Gas),7,Planet,,NA,1E+35,1,0,1,,,0
14,Moon,8,Moon,,NA,1E+35,1,0,1,,,0
15,Asteroid Belt,9,Asteroid Belt,,NA,1E+35,1,0,1,,,0
16,Stargate (Caldari System),10,Stargate,,NA,1E+11,10000000,0,1,1,,0
17,Stargate (Amarr Constellation),10,Stargate,,NA,1E+11,100000000,0,1,4,,0
18,Plagioclase,458,Plagioclase,516,Plagioclase,1E+35,0.35,0,100,,12800,1
19,Spodumain,461,Spodumain,517,Spodumain,1E+35,16,0,100,4,1149400,1
20,Kernite,457,Kernite,523,Kernite,1E+35,1.2,0,100,,74916,1
21,Hedbergite,454,Hedbergite,527,Hedbergite,1E+35,3,0,100,4,337408,1
22,Arkonor,450,Arkonor,512,Arkonor,1E+35,16,0,100,4,3068504,1
23,Cargo Container,12,Cargo Container,,NA,10000,27500,27500,1,,,0
24,Ring,13,Ring,,NA,1E+35,1,0,1,,,0
25,Corpse Male,14,Biomass,,NA,80,2,0,1,,,1
26,Office Folder,16,Station Services,,NA,0,1,0,1,,,0
27,Office,16,Station Services,,NA,0,1,0,1,,,0
28,Factory Folder,16,Station Services,,NA,0,1,0,1,,,0
29,Credits,17,Money,,NA,0,0,0,57344,,,0
30,Faction,19,Faction,,NA,0,0,0,1,,,0
34,Tritanium,18,Mineral,1857,Minerals,0,0.01,0,1,,2,1
35,Pyerite,18,Mineral,1857,Minerals,0,0.01,0,1,,8,1
36,Mexallon,18,Mineral,1857,Minerals,0,0.01,0,1,,32,1
37,Isogen,18,Mineral,1857,Minerals,0,0.01,0,1,,128,1
38,Nocxium,18,Mineral,1857,Minerals,0,0.01,0,1,,512,1
39,Zydrine,18,Mineral,1857,Minerals,0,0.01,0,1,,2048,1
40,Megacyte,18,Mineral,1857,Minerals,0,0.01,0,1,,8192,1
41,Garbage,280,General,20,Industrial Goods,2500,0.25,0,1,,20,1
42,Spiced Wine,280,General,492,Consumer Products,500,0.5,0,1,,1500,1
43,Antibiotics,280,General,492,Consumer Products,5,0.2,0,1,,325,1
44,Enriched Uranium,1034,Refined Commodities - Tier 2,1335,Refined Planetary Materials,0,1.5,0,1,,5000,1
45,Frozen Plant Seeds,281,Frozen,492,Consumer Products,400,0.5,0,1,,75,1
49,Player Kill,24,Voucher,,NA,0,0,0,1,,,0
50,Company Shares,24,Voucher,,NA,0,0,0,1,,,0
51,Bookmark,24,Voucher,,NA,0,0,0,1,,,0
52,Trading,94,Trading,,NA,0,0,0,1,,,0
53,Trade Session,95,Trade Session,,NA,0,0,0,1,,,0
54,Caldari Logistics Station,15,Station,,NA,0,1,0,1,1,600000,0
56,Gallente Military Station,15,Station,,NA,0,1,0,1,8,600000,0
57,Gallente Station Hub ,15,Station,,NA,0,1,0,1,8,600000,0
58,C-O-1,15,Station,,NA,0,1,0,1,1,600000,0
59,C-O-2,15,Station,,NA,0,1,0,1,1,600000,0
60,Asset Safety Wrap,1319,Miscellaneous,,NA,1,1,1,1,,,0
164,Clone Grade Alpha,23,Clone,,NA,0,1,0,1,,,0
165,Clone Grade Beta,23,Clone,,NA,0,1,0,1,,28000,0
166,Clone Grade Gamma,23,Clone,,NA,0,1,0,1,,45500,0
178,Carbonized Lead S,83,Projectile Ammo,113,Small,0.01,0.0025,0,100,,200,1
179,Nuclear S,83,Projectile Ammo,113,Small,0.01,0.0025,0,100,,300,1
180,Proton S,83,Projectile Ammo,113,Small,0.01,0.0025,0,100,,400,1
181,Depleted Uranium S,83,Projectile Ammo,113,Small,0.01,0.0025,0,100,,500,1
182,Titanium Sabot S,83,Projectile Ammo,113,Small,0.01,0.0025,0,100,,600,1
183,Fusion S,83,Projectile Ammo,113,Small,0.01,0.0025,0,100,,700,1
184,Phased Plasma S,83,Projectile Ammo,113,Small,0.01,0.0025,0,100,,800,1
185,EMP S,83,Projectile Ammo,113,Small,0.01,0.0025,0,100,,1000,1
186,Carbonized Lead M,83,Projectile Ammo,112,Medium,0.05,0.0125,0,100,,800,1
187,Nuclear M,83,Projectile Ammo,112,Medium,0.05,0.0125,0,100,,1200,1
188,Proton M,83,Projectile Ammo,112,Medium,1,0.0125,0,100,,1650,1
189,Depleted Uranium M,83,Projectile Ammo,112,Medium,1,0.0125,0,100,,2050,1
190,Titanium Sabot M,83,Projectile Ammo,112,Medium,1,0.0125,0,100,,2350,1
191,Fusion M,83,Projectile Ammo,112,Medium,1,0.0125,0,100,,2750,1
192,Phased Plasma M,83,Projectile Ammo,112,Medium,1,0.0125,0,100,,3250,1
193,EMP M,83,Projectile Ammo,112,Medium,1,0.0125,0,100,,4000,1
194,Carbonized Lead L,83,Projectile Ammo,109,Large,1,0.025,0,100,,2000,1
195,Nuclear L,83,Projectile Ammo,109,Large,1,0.025,0,100,,3000,1
196,Proton L,83,Projectile Ammo,109,Large,1,0.025,0,100,,4000,1
197,Depleted Uranium L,83,Projectile Ammo,109,Large,1,0.025,0,100,,5000,1
198,Titanium Sabot L,83,Projectile Ammo,109,Large,1,0.025,0,100,,6000,1
199,Fusion L,83,Projectile Ammo,109,Large,1,0.025,0,100,,7000,1
200,Phased Plasma L,83,Projectile Ammo,109,Large,1,0.025,0,100,,8000,1
201,EMP L,83,Projectile Ammo,109,Large,1,0.025,0,100,,10000,1
202,Mjolnir Cruise Missile,386,Cruise Missile,921,Standard Cruise Missiles,1250,0.05,0,100,,15000,1
203,Scourge Cruise Missile,386,Cruise Missile,921,Standard Cruise Missiles,1250,0.05,0,100,,10000,1
204,Inferno Cruise Missile,386,Cruise Missile,921,Standard Cruise Missiles,1250,0.05,0,100,,12500,1
205,Nova Cruise Missile,386,Cruise Missile,921,Standard Cruise Missiles,1250,0.05,0,100,,7500,1
206,Nova Heavy Missile,385,Heavy Missile,924,Standard Heavy Missiles,1000,0.03,0,100,,2000,1
207,Mjolnir Heavy Missile,385,Heavy Missile,924,Standard Heavy Missiles,1000,0.03,0,100,,3500,1
208,Inferno Heavy Missile,385,Heavy Missile,924,Standard Heavy Missiles,1000,0.03,0,100,,3000,1
209,Scourge Heavy Missile,385,Heavy Missile,924,Standard Heavy Missiles,1000,0.03,0,100,,2500,1
210,Scourge Light Missile,384,Light Missile,920,Standard Light Missiles,700,0.015,0,100,,500,1
211,Inferno Light Missile,384,Light Missile,920,Standard Light Missiles,700,0.015,0,100,,624,1
212,Mjolnir Light Missile,384,Light Missile,920,Standard Light Missiles,700,0.015,0,100,,750,1
213,Nova Light Missile,384,Light Missile,920,Standard Light Missiles,700,0.015,0,100,,370,1
215,Iron Charge S,85,Hybrid Charge,107,Small,0.01,0.0025,0,100,,200,1
216,Tungsten Charge S,85,Hybrid Charge,107,Small,0.01,0.0025,0,100,,300,1
217,Iridium Charge S,85,Hybrid Charge,107,Small,0.01,0.0025,0,100,,400,1
218,Lead Charge S,85,Hybrid Charge,107,Small,0.01,0.0025,0,100,,500,1
219,Thorium Charge S,85,Hybrid Charge,107,Small,0.01,0.0025,0,100,,600,1
220,Uranium Charge S,85,Hybrid Charge,107,Small,0.01,0.0025,0,100,,700,1
221,Plutonium Charge S,85,Hybrid Charge,107,Small,0.01,0.0025,0,100,,800,1
222,Antimatter Charge S,85,Hybrid Charge,107,Small,0.01,0.0025,0,100,,1000,1
223,Iron Charge M,85,Hybrid Charge,108,Medium,0.05,0.0125,0,100,,800,1
224,Tungsten Charge M,85,Hybrid Charge,108,Medium,0.05,0.0125,0,100,,1100,1
225,Iridium Charge M,85,Hybrid Charge,108,Medium,0.05,0.0125,0,100,,1500,1
226,Lead Charge M,85,Hybrid Charge,108,Medium,0.05,0.0125,0,100,,1750,1
227,Thorium Charge M,85,Hybrid Charge,108,Medium,0.05,0.0125,0,100,,2250,1
228,Uranium Charge M,85,Hybrid Charge,108,Medium,0.05,0.0125,0,100,,2750,1
229,Plutonium Charge M,85,Hybrid Charge,108,Medium,0.05,0.0125,0,100,,3250,1
230,Antimatter Charge M,85,Hybrid Charge,108,Medium,0.05,0.0125,0,100,,4000,1
231,Iron Charge L,85,Hybrid Charge,106,Large,0.1,0.025,0,100,,2000,1
232,Tungsten Charge L,85,Hybrid Charge,106,Large,0.1,0.025,0,100,,3000,1
233,Iridium Charge L,85,Hybrid Charge,106,Large,0.1,0.025,0,100,,4000,1
234,Lead Charge L,85,Hybrid Charge,106,Large,0.1,0.025,0,100,,5000,1
235,Thorium Charge L,85,Hybrid Charge,106,Large,0.1,0.025,0,100,,6000,1
236,Uranium Charge L,85,Hybrid Charge,106,Large,0.1,0.025,0,100,,7000,1
237,Plutonium Charge L,85,Hybrid Charge,106,Large,0.1,0.025,0,100,,8000,1
238,Antimatter Charge L,85,Hybrid Charge,106,Large,0.1,0.025,0,100,,10000,1
239,Radio S,86,Frequency Crystal,102,Small,1,1,0,1,,,1
